D;COD_OS;COD_UNIDADE;COD_CONTRATO;ANO_MES_REF;TIPO;CODIGO;CNPJ;RAZAO;CPF;NOME;NUM_DOCUMENTO;SERIE;DESCRICAO;DATA_EMISSAO;DATA_VENCIMENTO;DATA_PAGAMENTO;DATA_APURACAO;VALOR_DOCUMENTO;VALOR_PAGO;DESPESA;RUBRICA;BANCO;AGENCIA;CONTA_CORRENTE;PMT_PAGA;QTDE_PMT;IDENT_BANCARIO;FLAG_JUSTIFICATIVA
D;10061;10062;003/2020;2020-05;NF;5102;28.320.906/0001-02;DRL COMERCIO IMPORTACAO E EXPORTACAO EIRELI;;;30640;1;29HOS112019.pdf;2019-08-30;2019-09-27;2020-05-10;2019-08-30;5792,82;675,15;07.03.01;211;999;999;999999;1;1;110126;N
D;10061;10062;003/2020;2020-05;NF;5102;17.947.452/0001-88;BARMED COMERCIO DE EQUIPAMENTOS HOSPITALARES LTDA;;;1225;1;30HOS112019.pdf;2019-08-07;2019-09-06;2020-05-10;2019-08-07;1854;1854;02.15.01;211;999;999;999999;1;1;110127;N
D;10061;10062;003/2020;2020-05;NF;5102;17.947.452/0001-88;BARMED COMERCIO DE EQUIPAMENTOS HOSPITALARES LTDA;;;1239;1;30HOS112019.pdf;2019-08-16;2019-09-15;2020-05-10;2019-08-16;240;240;02.15.01;211;999;999;999999;1;1;110127;N
D;10061;10062;003/2020;2020-05;NF;5102;04.821.115/0001-06;BIOSCARE COMERCIO DE MATERIAIS MED. HOSPITALARES LTDA;;;20949;1;31HOS112019.pdf;2019-08-09;2019-09-08;2020-05-10;2019-08-09;2300;2300;02.14.01;212;999;999;999999;1;1;110128;N
D;10061;10062;003/2020;2020-05;NF;5102;04.821.115/0001-06;BIOSCARE COMERCIO DE MATERIAIS MED. HOSPITALARES LTDA;;;20949;1;31HOS112019.pdf;2019-08-09;2019-09-08;2020-05-10;2019-08-09;2300;200,33;07.03.01;212;999;999;999999;1;1;110128;N
D;10061;10062;003/2020;2020-05;NF;5102;04.821.115/0001-06;BIOSCARE COMERCIO DE MATERIAIS MED. HOSPITALARES LTDA;;;21046;1;32HOS112019.pdf;2019-08-15;2019-09-14;2020-05-10;2019-08-15;1219,5;1219,5;02.14.01;211;999;999;999999;1;1;110129;N
D;10061;10062;003/2020;2020-05;NF;5102;04.821.115/0001-06;BIOSCARE COMERCIO DE MATERIAIS MED. HOSPITALARES LTDA;;;21046;1;32HOS112019.pdf;2019-08-15;2019-09-14;2020-05-10;2019-08-15;1219,5;100,07;07.03.01;211;999;999;999999;1;1;110129;N
D;10061;10062;003/2020;2020-05;NF;6108;38.909.503/0001-57;OPEM REPRESENTACAO IMPORTADORA EXPORTADORA E DISTR. LTDA;;;56068;1;33HOS112019.pdf;2019-08-02;2019-09-02;2020-05-10;2019-08-02;1800;1800;02.07.01;212;999;999;999999;1;1;110130;N
D;10061;10062;003/2020;2020-05;NF;6108;38.909.503/0001-57;OPEM REPRESENTACAO IMPORTADORA EXPORTADORA E DISTR. LTDA;;;56068;1;33HOS112019.pdf;2019-08-02;2019-09-02;2020-05-10;2019-08-02;1800;108;07.03.01;212;999;999;999999;1;1;110130;N
D;10061;10062;003/2020;2020-05;NF;6108;05.075.964/0001-12;CINCO CONFIANCA IND E COMERCIO LTDA;;;88831;1;34HOS112019.pdf;2019-08-19;2019-09-18;2020-05-10;2019-08-19;1500;1500;02.14.01;211;999;999;999999;1;1;110131;N
D;10061;10062;003/2020;2020-05;NF;6108;05.075.964/0001-12;CINCO CONFIANCA IND E COMERCIO LTDA;;;88831;1;34HOS112019.pdf;2019-08-19;2019-09-18;2020-05-10;2019-08-19;1500;52;07.03.01;211;999;999;999999;1;1;110131;N
D;10061;10062;003/2020;2020-05;NF;6108;05.075.964/0001-12;CINCO CONFIANCA IND E COMERCIO LTDA;;;89377;1;35HOS112019.pdf;2019-08-30;2019-09-29;2020-05-10;2019-08-30;1700;1700;02.14.01;212;999;999;999999;1;1;110132;N
D;10061;10062;003/2020;2020-05;NF;6108;05.075.964/0001-12;CINCO CONFIANCA IND E COMERCIO LTDA;;;89377;1;35HOS112019.pdf;2019-08-30;2019-09-29;2020-05-10;2019-08-30;1700;52,81;07.03.01;212;999;999;999999;1;1;110132;N
D;10061;10062;003/2020;2020-05;NF;6107;02.881.877/0001-64;POLAR FIX INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA ;;;304443;1;41HOS112019.pdf;2019-10-01;2019-10-31;2020-05-10;2019-10-01;1033,2;1033,2;02.14.01;211;999;999;999999;1;1;110401;N
D;10061;10062;003/2020;2020-05;NF;6107;02.881.877/0001-64;POLAR FIX INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA ;;;304443;1;41HOS112019.pdf;2019-10-01;2019-10-31;2020-05-10;2019-10-01;1033,2;13,77;07.03.01;211;999;999;999999;1;1;110401;N
D;10061;10062;003/2020;2020-05;NF;6107;02.881.877/0001-64;POLAR FIX INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA ;;;304744;1;42HOS112019.pdf;2019-10-03;2019-11-02;2020-05-10;2019-10-03;2835,04;2835,04;02.14.01;211;999;999;999999;1;1;110402;N
D;10061;10062;003/2020;2020-05;NF;6101;07.347.394/0001-06;SAMYS PLASTICOS E EMBALAGENS LTDA EPP;;;5182;1;46HOS112019.pdf;2019-07-30;2019-09-03;2020-05-10;2019-07-30;1056;1056;02.12.01;211;999;999;999999;1;1;110406;N
D;10061;10062;003/2020;2020-05;NF;5102;05.369.110/0001-49;PUBLIC MED COMERCIAL LTDA;;;23800;;47HOS112019.pdf;2019-08-27;2019-09-26;2020-05-10;2019-08-27;1600;1600;02.14.01;211;999;999;999999;1;1;110407;N
D;10061;10062;003/2020;2020-05;NF;5102;05.369.110/0001-49;PUBLIC MED COMERCIAL LTDA;;;23800;;47HOS112019.pdf;2019-08-27;2019-09-26;2020-05-10;2019-08-27;1600;73,73;07.03.01;211;999;999;999999;1;1;110407;N
D;10061;10062;003/2020;2020-05;NF;5102;05.369.110/0001-49;PUBLIC MED COMERCIAL LTDA;;;23977;;48HOS112019.pdf;2019-10-01;2019-10-31;2020-05-10;2019-10-01;4500;4500;02.14.01;211;999;999;999999;1;1;110408;N
D;10061;10062;003/2020;2020-05;NF;5102;05.369.110/0001-49;PUBLIC MED COMERCIAL LTDA;;;23977;;48HOS112019.pdf;2019-10-01;2019-10-31;2020-05-10;2019-10-01;4500;102,08;07.03.01;211;999;999;999999;1;1;110408;N
D;10061;10062;003/2020;2020-05;NF;6108;09.032.626/0002-35;AGFA HEALTHCARE BRASIL IMPORTACAO E SERVICOS LTDA;;;59772;1;49HOS112019.pdf;2019-05-20;2019-09-29;2020-05-10;2019-05-20;5924,13;2962,06;02.03.02;211;999;999;999999;2;2;110409;N
D;10061;10062;003/2020;2020-05;NF;6108;09.032.626/0002-35;AGFA HEALTHCARE BRASIL IMPORTACAO E SERVICOS LTDA;;;59772;1;49HOS112019.pdf;2019-05-20;2019-09-29;2020-05-10;2019-05-20;5924,13;222,3;07.03.01;211;999;999;999999;1;1;110409;N
D;10061;10062;003/2020;2020-05;NF;5405;02.376.490/0001-50;MEDICAL SUTURE COMERCIO DE MATERIAL HOSPITALAR LTDA;;;62883;1;50HOS112019.pdf;2019-08-28;2019-09-27;2020-05-10;2019-08-28;2390;2390;02.14.01;211;999;999;999999;1;1;110410;N
D;10061;10062;003/2020;2020-05;NF;5405;02.376.490/0001-50;MEDICAL SUTURE COMERCIO DE MATERIAL HOSPITALAR LTDA;;;62883;1;50HOS112019.pdf;2019-08-28;2019-09-27;2020-05-10;2019-08-28;2390;347,62;07.03.01;211;999;999;999999;1;1;110410;N
D;10061;10062;003/2020;2020-05;NF;5102;28.878.042/0001-49;WORK MED COM. DE MAT. MEDICO E HOSPITALAR EIRELI - EPP;;;1126;1;51HOS112019.pdf;2019-10-01;2019-10-31;2020-05-10;2019-10-01;4719;2359,5;02.14.01;211;999;999;999999;1;2;110411;N
D;10061;10062;003/2020;2020-05;NF;5102;28.878.042/0001-49;WORK MED COM. DE MAT. MEDICO E HOSPITALAR EIRELI - EPP;;;1126;1;51HOS112019.pdf;2019-10-01;2019-10-31;2020-05-10;2019-10-01;4719;243,02;07.03.01;211;999;999;999999;1;1;110411;N
D;10061;10062;003/2020;2020-05;NF;5102;17.771.867/0001-43;DBV COMERCIO DE MATERIAL HOSPITALAR LTDA;;;11106;1;53HOS112019.pdf;2019-08-19;2019-09-18;2020-05-10;2019-08-19;4750;4750;02.14.01;212;999;999;999999;1;1;110413;N
D;10061;10062;003/2020;2020-05;NF;5102;17.771.867/0001-43;DBV COMERCIO DE MATERIAL HOSPITALAR LTDA;;;11107;1;54HOS112019.pdf;2019-08-19;2019-09-18;2020-05-10;2019-08-19;350;350;02.14.01;211;999;999;999999;1;1;110414;N
D;10061;10062;003/2020;2020-05;NF;5102;15.825.274/0001-97;FRIGO COPA DISTRIBUIDORA DE ALIMENTOS LTDA;;;210380;2;56HOS112019.pdf;2019-10-11;2019-10-25;2020-05-10;2019-10-11;1011,69;1011,69;02.06.01;212;999;999;999999;1;1;110416;N
D;10061;10062;003/2020;2020-05;NF;5102;31.381.168/0001-18;EDUS MEDICAMENTOS E MATERIAIS CIRURGICOS EIRELI;;;132;1;59HOS112019.pdf;2019-08-07;2019-09-05;2020-05-10;2019-08-07;2680;1340;02.14.01;211;999;999;999999;1;2;110419;N
D;10061;10062;003/2020;2020-05;NF;5102;31.381.168/0001-18;EDUS MEDICAMENTOS E MATERIAIS CIRURGICOS EIRELI;;;132;1;59HOS112019.pdf;2019-08-07;2019-09-20;2020-05-10;2019-08-07;2680;1340;02.14.01;211;999;999;999999;2;2;110419;N
D;10061;10062;003/2020;2020-05;NF;5102;31.381.168/0001-18;EDUS MEDICAMENTOS E MATERIAIS CIRURGICOS EIRELI;;;151;1;60HOS112019.pdf;2019-08-14;2019-09-12;2020-05-10;2019-08-14;4000;1333,34;02.07.01;211;999;999;999999;1;3;110420;N
D;10061;10062;003/2020;2020-05;NF;5102;31.381.168/0001-18;EDUS MEDICAMENTOS E MATERIAIS CIRURGICOS EIRELI;;;151;1;60HOS112019.pdf;2019-08-14;2019-09-27;2020-05-10;2019-08-14;4000;1333,33;02.07.01;211;999;999;999999;2;3;110420;N
D;10061;10062;003/2020;2020-05;NF;5102;31.381.168/0001-18;EDUS MEDICAMENTOS E MATERIAIS CIRURGICOS EIRELI;;;166;1;61HOS112019.pdf;2019-08-16;2019-09-13;2020-05-10;2019-08-16;7682;2560,68;02.14.01;211;999;999;999999;1;3;110421;N
D;10061;10062;003/2020;2020-05;NF;5102;31.381.168/0001-18;EDUS MEDICAMENTOS E MATERIAIS CIRURGICOS EIRELI;;;166;1;62HOS112019.pdf;2019-08-16;2019-09-28;2020-05-10;2019-08-16;7682;2560,66;02.14.01;211;999;999;999999;2;3;110422;N
D;10061;10062;003/2020;2020-05;NF;5102;31.381.168/0001-18;EDUS MEDICAMENTOS E MATERIAIS CIRURGICOS EIRELI;;;208;1;63HOS112019.pdf;2019-08-28;2019-09-26;2020-05-10;2019-08-28;3250;1625;02.14.01;211;999;999;999999;1;2;110423;N
D;10061;10062;003/2020;2020-05;NF;5102;31.381.168/0001-18;EDUS MEDICAMENTOS E MATERIAIS CIRURGICOS EIRELI;;;186;1;63HOS112019.pdf;2019-08-22;2019-09-19;2020-05-10;2019-08-22;705;705;02.14.01;212;999;999;999999;1;1;110423;N
D;10061;10062;003/2020;2020-05;NF;5102;31.381.168/0001-18;EDUS MEDICAMENTOS E MATERIAIS CIRURGICOS EIRELI;;;178;1;63HOS112019.pdf;2019-08-20;2019-09-14;2020-05-10;2019-08-20;1413,36;1413,36;02.07.04;211;999;999;999999;1;1;110423;N
D;10061;10062;003/2020;2020-05;NF;5405;12.024.571/0001-45;R.R. LIMP DISTR PROD LIMPEZA E DESC LTDA;;;25237;1;70HOS112019.pdf;2019-10-02;2019-10-30;2020-05-10;2019-10-02;178,14;178,14;02.05.01;211;999;999;999999;1;1;110507;N
D;10061;10062;003/2020;2020-05;NF;6107;10.506.710/0001-41;NUTREL INDUSTRIA E COMERCIO LTDA;;;13959;1;80HOS112019.pdf;2019-10-01;2019-10-18;2020-05-10;2019-10-01;1518,32;1518,32;02.06.01;212;999;999;999999;1;1;110517;N
D;10061;10062;003/2020;2020-05;NF;5102;31.381.168/0001-18;EDUS MEDICAMENTOS E MATERIAIS CIRURGICOS EIRELI;;;233;1;83HOS112019.pdf;2019-08-30;2019-09-29;2020-05-10;2019-08-30;11246;5623;02.14.01;211;999;999;999999;1;2;110520;N
D;10061;10062;003/2020;2020-05;NF;6107;02.881.877/0001-64;POLAR FIX INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA ;;;305237;1;95HOS112019.pdf;2019-10-08;2019-11-07;2020-05-10;2019-10-08;988;988;02.14.01;211;999;999;999999;1;1;110707;N
D;10061;10062;003/2020;2020-05;NF;;34.115.188/0001-35;C.M. COUTO SISTEMAS CONTRA INCENDIO LTDA;;;30974;;102HOS112019.pdf;2019-10-08;2019-11-05;2020-05-10;2019-10-08;419,54;1,66;07.03.01;211;999;999;999999;1;1;110714;N
D;10061;10062;003/2020;2020-05;NF;6101;28.791.011/0001-56;FOX IND E COM DE MAT MEDICOS E HOSP EIRELI EPP;;;1911;1;104HOS112019.pdf;2019-08-15;2019-09-14;2020-05-10;2019-08-15;4233;4233;02.14.01;212;999;999;999999;1;1;110801;N
D;10061;10062;003/2020;2020-05;NF;6108;02.881.877/0001-64;POLAR FIX INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA ;;;305555;1;106HOS112019.pdf;2019-10-09;2019-11-08;2020-05-10;2019-10-09;750,5;750,5;02.14.01;211;999;999;999999;1;1;110803;N
D;10061;10062;003/2020;2020-05;NF;6107;10.506.710/0001-41;NUTREL INDUSTRIA E COMERCIO LTDA;;;14004;1;107HOS112019.pdf;2019-10-04;2019-10-25;2020-05-10;2019-10-04;492,8;492,8;02.06.01;212;999;999;999999;1;1;110804;N
D;10061;10062;003/2020;2020-05;NF;5101;30.450.803/0001-09;ZAMMI INSTRUMENTAL LTDA;;;116188;2;114HOS112019.pdf;2019-10-02;2019-11-01;2020-05-10;2019-10-02;8016;4008;02.14.01;211;999;999;999999;1;2;5,51E+14;N
D;10061;10062;003/2020;2020-05;NF;5101;30.450.803/0001-09;ZAMMI INSTRUMENTAL LTDA;;;116188;2;114HOS112019.pdf;2019-10-02;2019-11-01;2020-05-10;2019-10-02;8016;80,16;07.03.01;211;999;999;999999;1;1;5,51E+14;N
D;10061;10062;003/2020;2020-05;NF;6108;21.681.325/0001-57;MULTIFARMA COMERCIAL LTDA;;;117235;1;118HOS112019.pdf;2019-10-03;2019-11-02;2020-05-10;2019-10-03;4892,16;2446,08;02.07.01;211;999;999;999999;1;2;5,53E+14;N
D;10061;10062;003/2020;2020-05;NF;6108;21.681.325/0001-57;MULTIFARMA COMERCIAL LTDA;;;117235;1;118HOS112019.pdf;2019-10-03;2019-11-02;2020-05-10;2019-10-03;4892,16;119,86;07.03.01;211;999;999;999999;1;1;5,53E+14;N
D;10061;10062;003/2020;2020-05;NF;5102;31.673.254/0010-95;LABORATORIO B.BRAUN S.A;;;366163;;128HOS112019.pdf;2019-08-15;2019-10-14;2020-05-10;2019-08-15;3787,2;3787,2;02.14.01;211;999;999;999999;1;1;111206;N
D;10061;10062;003/2020;2020-05;NF;5102;31.673.254/0010-95;LABORATORIO B.BRAUN S.A;;;366163;;128HOS112019.pdf;2019-08-15;2019-10-14;2020-05-10;2019-08-15;3787,2;109,91;07.03.01;211;999;999;999999;1;1;111206;N
D;10061;10062;003/2020;2020-05;NF;5102;31.673.254/0010-95;LABORATORIO B.BRAUN S.A;;;367731;;129HOS112019.pdf;2019-08-21;2019-10-20;2020-05-10;2019-08-21;1016,4;1016,4;02.07.01;212;999;999;999999;1;1;111207;N
D;10061;10062;003/2020;2020-05;NF;5102;31.673.254/0010-95;LABORATORIO B.BRAUN S.A;;;367731;;129HOS112019.pdf;2019-08-21;2019-10-20;2020-05-10;2019-08-21;1016,4;23,46;07.03.01;212;999;999;999999;1;1;111207;N
D;10061;10062;003/2020;2020-05;NF;5102;31.673.254/0010-95;LABORATORIO B.BRAUN S.A;;;371527;;130HOS112019.pdf;2019-08-30;2019-10-29;2020-05-10;2019-08-30;1893,6;1893,6;02.14.01;212;999;999;999999;1;1;111208;N
D;10061;10062;003/2020;2020-05;NF;5102;31.673.254/0010-95;LABORATORIO B.BRAUN S.A;;;371527;;130HOS112019.pdf;2019-08-30;2019-10-29;2020-05-10;2019-08-30;1893,6;26,46;07.03.01;212;999;999;999999;1;1;111208;N
D;10061;10062;003/2020;2020-05;NF;5102;31.673.254/0010-95;LABORATORIO B.BRAUN S.A;;;371201;;131HOS112019.pdf;2019-08-30;2019-10-29;2020-05-10;2019-08-30;12096;12096;02.14.01;211;999;999;999999;1;1;111209;N
D;10061;10062;003/2020;2020-05;NF;5102;31.673.254/0010-95;LABORATORIO B.BRAUN S.A;;;371201;;131HOS112019.pdf;2019-08-30;2019-10-29;2020-05-10;2019-08-30;12096;169,4;07.03.01;211;999;999;999999;1;1;111209;N
D;10061;10062;003/2020;2020-05;NF;5102;05.050.260/0001-95;PROCARE COMERCIO DE PRODUTOS HOSPITALARES LTDA;;;26701;1;147HOS112019.pdf;2019-10-15;2019-10-30;2020-05-10;2019-10-15;720;720;02.07.07;212;999;999;999999;1;1;111225;N
D;10061;10062;003/2020;2020-05;NF;5102;05.050.260/0001-95;PROCARE COMERCIO DE PRODUTOS HOSPITALARES LTDA;;;26701;1;147HOS112019.pdf;2019-10-15;2019-10-30;2020-05-10;2019-10-15;720;44,22;07.03.01;212;999;999;999999;1;1;111225;N
D;10061;10062;003/2020;2020-05;NF;6108;10.743.622/0001-63;FIXE ETIQUETAS E COMERCIO EIRELI - EPP;;;22916;1;148HOS112019.pdf;2019-10-01;2019-10-31;2020-05-10;2019-10-01;1080;1080;02.01.01;211;999;999;999999;1;1;5,50E+14;N
D;10061;10062;003/2020;2020-05;NF;5405;08.726.836/0001-80;SUPRIWEB COMERCIO E SERVICOS DE INFORMATICA LTDA;;;20528;1;150HOS112019.pdf;2019-10-03;2019-10-30;2020-05-10;2019-10-03;321;321;02.12.01;211;999;999;999999;1;1;5,50E+14;N
D;10061;10062;003/2020;2020-05;NF;6107;01.917.654/0001-47;ULTRALIGHT INDUSTRIA E COMERCIO EIRELI - EPP;;;32675;1;151HOS112019.pdf;2019-10-02;2019-10-30;2020-05-10;2019-10-02;317,4;317,4;02.05.01;212;999;999;999999;1;1;5,50E+14;N
D;10061;10062;003/2020;2020-05;NF;5102;44.463.156/0024-70;SERVIMED COMERCIAL LTDA;;;22351;57;177HOS112019.pdf;2019-10-10;2019-11-07;2020-05-10;2019-10-10;706;706;02.07.01;212;999;999;999999;1;1;5,52E+14;N
D;10061;10062;003/2020;2020-05;NF;5102;44.463.156/0024-70;SERVIMED COMERCIAL LTDA;;;16777;57;178HOS112019.pdf;2019-10-08;2019-11-07;2020-05-10;2019-10-08;3000;3000;02.07.01;211;999;999;999999;1;1;5,52E+14;N
D;10061;10062;003/2020;2020-05;NF;5102;07.099.475/0001-26;DAISSER EQUIPAMENTOS E SERVICOS LTDA;;;4194;1;180HOS112019.pdf;2019-10-08;2019-11-05;2020-05-10;2019-10-08;1880;1880;02.03.02;211;999;999;999999;1;1;5,53E+14;N
D;10061;10062;003/2020;2020-05;NF;6102;59.920.132/0001-84;PH 7 COM E REPRES DE PROD PARA DIAG LTDA;;;7618;;182HOS112019.pdf;2019-10-01;2019-10-31;2020-05-10;2019-10-01;198;198;02.14.01;212;999;999;999999;1;1;5,53E+14;N
D;10061;10062;003/2020;2020-05;NF;6108;04.027.894/0003-26;DUPATRI HOSPITALAR COM IMP EXP LTDA;;;1042470;1;187HOS112019.pdf;2019-10-01;2019-10-31;2020-05-10;2019-10-01;1465,97;1465,97;02.07.01;212;999;999;999999;1;1;5,53E+14;N
D;10061;10062;003/2020;2020-05;NF;5102;40.175.705/0001-64;CEI COMERCIO EXPORTACAO E IMPORTACAO DE MATERIAL MEDICO LTDA;;;329332;1;205HOS112019.pdf;2019-10-01;2019-10-31;2020-05-10;2019-10-01;1902;1902;02.14.01;211;999;999;999999;1;1;111311;N
D;10061;10062;003/2020;2020-05;NF;5102;07.133.384/0001-60;MEDICAL HEALTH COM. E SERVICOS LTDA-EPP;;;248942;1;213HOS112019.pdf;2019-08-07;2019-09-05;2020-05-10;2019-08-07;1287;1287;02.14.02;211;999;999;999999;1;1;111319;N
D;10061;10062;003/2020;2020-05;NF;5102;07.133.384/0001-60;MEDICAL HEALTH COM. E SERVICOS LTDA-EPP;;;248964;1;213HOS112019.pdf;2019-08-07;2019-09-05;2020-05-10;2019-08-07;1287;1287;02.14.02;211;999;999;999999;1;1;111319;N
D;10061;10062;003/2020;2020-05;NF;5102;07.133.384/0001-60;MEDICAL HEALTH COM. E SERVICOS LTDA-EPP;;;251760;1;213HOS112019.pdf;2019-08-16;2019-09-14;2020-05-10;2019-08-16;833;833;02.14.02;211;999;999;999999;1;1;111319;N
D;10061;10063;003/2020;2020-05;NF;5102;07.133.384/0001-60;MEDICAL HEALTH COM. E SERVICOS LTDA-EPP;;;251951;1;213HOS112019.pdf;2019-08-19;2019-09-17;2020-05-10;2019-08-19;1033;1033;02.14.02;211;999;999;999999;1;1;111319;N
D;10061;10063;003/2020;2020-05;NF;5102;07.133.384/0001-60;MEDICAL HEALTH COM. E SERVICOS LTDA-EPP;;;251934;1;213HOS112019.pdf;2019-08-19;2019-09-17;2020-05-10;2019-08-19;1033;1033;02.14.02;211;999;999;999999;1;1;111319;N
D;10061;10063;003/2020;2020-05;NF;5102;07.133.384/0001-60;MEDICAL HEALTH COM. E SERVICOS LTDA-EPP;;;253443;1;213HOS112019.pdf;2019-08-23;2019-09-21;2020-05-10;2019-08-23;1287;1287;02.14.02;211;999;999;999999;1;1;111319;N
D;10061;10063;003/2020;2020-05;NF;5102;07.133.384/0001-60;MEDICAL HEALTH COM. E SERVICOS LTDA-EPP;;;253956;1;213HOS112019.pdf;2019-08-26;2019-09-24;2020-05-10;2019-08-26;416,5;416,5;02.14.02;211;999;999;999999;1;1;111319;N
D;10061;10063;003/2020;2020-05;NF;6108;00.454.927/0001-00;O. J. B. NICESIO;;;1933;1;214HOS112019.pdf;2019-10-03;2019-10-31;2020-05-10;2019-10-03;1890;1890;02.15.01;212;999;999;999999;1;1;111320;N
